archivo,peso_kb,quality_webp,dimensiones,redimensionada
tour-leyendas-clasico.webp,85.4,85,1023x1537,no
tour-santa-inquisicion.webp,116.1,85,1023x1537,no
tour-angeles-demonios.webp,142.8,85,1023x1537,no
tour-callejones-centro.webp,141.8,85,1023x1537,no
tour-marquesa-selva-nevada.webp,155.0,85,1023x1537,no
tour-fundacion-cholula.webp,173.2,85,1023x1537,no
tour-hermanos-serdan.webp,123.1,85,1023x1537,no
tour-divertido-leyendas.webp,147.7,85,1023x1537,no
tour-batalla-5-mayo.webp,131.2,85,1023x1537,no
tour-verdadera-fundacion.webp,133.2,75,1023x1537,no
tour-leyendas-estado.webp,132.5,85,1023x1537,no
tour-ex-hacienda-chautla.webp,169.9,75,1023x1537,no
bg-historia-puebla.webp,149.4,75,1672x941,no
bg-ritual-noche.webp,150.7,75,1672x941,no
bg-nuestro-pacto.webp,151.3,85,1672x941,no
bg-testimonios.webp,164.2,85,1672x941,no
bg-contacto-reservacion.webp,126.0,75,1672x941,no
bg-footer-puebla-noche.webp,69.7,85,1740x904,no
